timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1554774418802,4197,Register,201,,Thread Group 1-58,text,true,,358,341,223,223,https://csye6225-spring2019-cuijingy.me/user/register,4197,0,365
1554774419685,3316,Register,201,,Thread Group 1-96,text,true,,358,341,223,223,https://csye6225-spring2019-cuijingy.me/user/register,3316,0,387
1554774419611,3393,Register,201,,Thread Group 1-81,text,true,,358,341,223,223,https://csye6225-spring2019-cuijingy.me/user/register,3393,0,317
1554774419240,3805,Register,201,,Thread Group 1-79,text,true,,358,341,228,228,https://csye6225-spring2019-cuijingy.me/user/register,3805,0,441
1554774419628,3430,Register,201,,Thread Group 1-88,text,true,,358,341,229,229,https://csye6225-spring2019-cuijingy.me/user/register,3430,0,353
1554774419261,3806,Register,201,,Thread Group 1-77,text,true,,358,341,229,229,https://csye6225-spring2019-cuijingy.me/user/register,3806,0,429
1554774419636,3518,Register,201,,Thread Group 1-87,text,true,,358,341,245,245,https://csye6225-spring2019-cuijingy.me/user/register,3518,0,400
1554774418929,4257,Register,201,,Thread Group 1-65,text,true,,358,341,251,251,https://csye6225-spring2019-cuijingy.me/user/register,4257,0,523
1554774419630,3557,Register,201,,Thread Group 1-86,text,true,,358,341,251,251,https://csye6225-spring2019-cuijingy.me/user/register,3557,0,385
1554774419625,3564,Register,201,,Thread Group 1-90,text,true,,358,341,251,251,https://csye6225-spring2019-cuijingy.me/user/register,3564,0,325
1554774418946,4246,Register,201,,Thread Group 1-67,text,true,,358,341,251,251,https://csye6225-spring2019-cuijingy.me/user/register,4246,0,488
1554774419089,4104,Register,201,,Thread Group 1-71,text,true,,358,341,251,251,https://csye6225-spring2019-cuijingy.me/user/register,4104,0,422
1554774418863,4539,Register,201,,Thread Group 1-62,text,true,,358,341,287,287,https://csye6225-spring2019-cuijingy.me/user/register,4539,0,382
1554774419193,4329,Register,201,,Thread Group 1-76,text,true,,358,341,299,299,https://csye6225-spring2019-cuijingy.me/user/register,4329,0,450
